# menu890s.csv - transcription A of the TS-890S "EX Command Parameter Lists".
#
# BOOK: "TS-890S PC CONTROL COMMAND Reference Guide", January/30/2019,
# (c) 2019 B5A-2944-00/01 - the title, date and code as printed on the cover
# and the last page (layout lines 1-7 and 5936).
#
# SOURCE: docs/fixtures-private/manuals/ts890s_pc_rev1_layout.txt, the chart
# at layout lines 1934-2283 - the "Menu" list (P1=0, lines 1939-2204) and the
# "Advanced Menu" list (P1=1, lines 2218-2281), whose column headings are at
# 1935-1938, 2006-2009, 2098-2101, 2181-2184 and 2212-2215. The EX command's
# own frame and parameter definitions, which this file's widths are read
# against, are at 1896-1926.
#
# RENDER PAGES CHECKED: every line above was read against 300 dpi renders of
# PDF pages 25, 26, 27, 28, 29 and 30 (printed pages 24 to 29) of
# ts890s_pc_rev1.pdf, produced with pdftoppm -r 300. Layout-led, PDF-checked.
#
# DATE: 08/09/2026. No other document was consulted: not another radio's
# chart, not another transcription, not a third-party table.
#
# ROWS: 162 addressed rows - 135 with P1=0 and 27 with P1=1. The chart's last
# printed line, "1 - 27 Firmware Version", is NOT here: its P2 cell prints an
# em dash rather than an address (layout 2281, render page 30), so it is not
# an addressed row. The four rows whose P5 cell reads "Does not correspond to
# a command" ARE here, addressed and counted, with a hyphen digits cell: the
# profile names them in ParameterlessAddresses and the generator omits them
# from the inventory by address.
#
# COLUMNS: p1,p2,p3,p1_label,p2_label,name,p4,digits,text,manual_line.
#   p1,p2,p3    the chart's three address cells, verbatim with their leading
#               zeros (P1 one digit, P2 and P3 two).
#   p1_label,p2_label
#               always blank: this chart prints no group-label columns at all
#               (confirmed on renders of PDF pages 26-30), so the profile
#               registers LabelsAbsent.
#   name        the Function column VERBATIM. Where the cell wraps, the
#               printed lines are joined with ONE space and nothing else, so
#               a word Kenwood broke across lines mid-token keeps the space
#               the join puts in it - "TX Filter Low Cut (SSB-DATA/AM- DATA)"
#               and "FM Mode Frequency Step Size (Multi/ Channel Control)"
#               are transcribed, not repaired.
#   p4          the book's own description of this row's P5 field. It is the
#               row's printed P5 cell where that cell is prose spanning the
#               whole width (the two message rows, the seventeen PF-key rows,
#               Contest Number, Reference Oscillator Calibration and the four
#               "Does not correspond to a command" rows); on every other row
#               the chart prints a VALUE TABLE and no description, so p4
#               carries the P5 legend the book gives those rows at layout
#               1917. The P5 value tables themselves are NOT transcribed
#               here: nothing reads them, RenderGo does not emit p4, and a
#               seven-column matrix with vertically wrapped cells is not
#               transcribable without a check no test in this repository
#               would give it.
#   digits      the width of the largest P5 code printed for the row. The
#               column headings are three characters ("000" ... "006 ~"), so
#               a row that enumerates values is 3. Four rows are not: the two
#               message rows carry their prose character counts (10 and 15,
#               layout 1946 and 1947) and are flagged text; Contest Number
#               prints "0001 ~ 9999 (Must be a 4-digit number)" (layout 2108)
#               and Reference Oscillator Calibration "Parameter value of 0000
#               ~ 1000" (layout 2236), which are numeric legends of width 4
#               and are NOT text. The four excluded rows carry "-".
#   text        true only for the two message rows.
#   manual_line the line in the layout text this row was transcribed from.
#
# OPEN, AND DELIBERATELY NOT RESOLVED HERE: the seventeen PF-key rows carry
# digits 3, which is what their OWN rows print - their P5 cell is the prose
# "Refer to the list of function allotment numbers for the PF key" and the
# column headings above it are three characters wide. The book says four
# elsewhere: "PF key settings use 4 digits (refer to the PF Key assignment ID
# lists)" (layout 1918-1919, render page 25), and every ID in the PF Key
# Assignment Lists is four characters (layout 2292-2342). The transcription
# brief rules this cell 3; the disagreement is recorded here and reported
# rather than settled by this file.
0,00,00,,,Color Display Pattern,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1939
0,00,01,,,Function Key Style,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1940
0,00,02,,,Font Style (Frequency Display),Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1941
0,00,03,,,Screen Saver,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1942
0,00,04,,,Screen Saver Wait Time,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1944
0,00,05,,,Screen Saver Message,Up to 10 alphanumeric characters,10,true,1946
0,00,06,,,Power-on Message,Up to 15 alphanumeric characters,15,true,1947
0,00,07,,,FM Mode S-Meter Sensitivity,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1948
0,00,08,,,Meter Response Speed (Analog),Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1949
0,00,09,,,Meter Display Pattern,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1951
0,00,10,,,Meter Display Peak Hold,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1953
0,00,11,,,S-Meter Scale,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1954
0,00,12,,,TX Digital Meter,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1955
0,00,13,,,Long Press Duration of Panel Keys,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1957
0,00,14,,,Touchscreen Tuning,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1959
0,00,15,,,PF A: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1960
0,00,16,,,PF B: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1961
0,00,17,,,PF C: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1962
0,00,18,,,External PF 1: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1963
0,00,19,,,External PF 2: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1964
0,00,20,,,External PF 3: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1965
0,00,21,,,External PF 4: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1966
0,00,22,,,External PF 5: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1967
0,00,23,,,External PF 6: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1968
0,00,24,,,External PF 7: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1969
0,00,25,,,External PF 8: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1970
0,00,26,,,Microphone PF 1: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1971
0,00,27,,,Microphone PF 2: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1972
0,00,28,,,Microphone PF 3: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1973
0,00,29,,,Microphone PF 4: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1974
0,00,30,,,Microphone DOWN: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1975
0,00,31,,,Microphone UP: Key Assignment,Refer to the list of function allotment numbers for the PF key,3,false,1976
0,00,32,,,Automatic Power Off,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1977
0,01,00,,,Beep Volume,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1978
0,01,01,,,Voice Message Volume (Play),Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1979
0,01,02,,,Sidetone Volume,Normally a 3-digit number (blank digits must be entered as “0”.),3,false,1981
