diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,①,-,1,1,1,2,15,Upper row of the 1A 00 block: leftmost cell (white) directly under the outlined circled 1; nothing is printed to its left,Outlined circled numeral. Cell holds X and X either side of a dotted vertical divider. Measured position is the drawn-cell ordinal counted from the diagram's own first cell
D1,"②, ③",-,2,1,3,2,15,Upper row: 2nd and 3rd cells from the left (both grey-filled) under the bracket printed 2 comma 3; immediately right of the cell under the circled 1,Two outlined circled numerals separated by a printed comma over a single bracket spanning two cells
D1,④,-,4,1,4,2,15,Upper row: 4th cell from the left; the white cell printed 0 then X; directly under the outlined circled 4,Outlined circled numeral. Left nibble printed 0 and right nibble printed X
D1,⑤ ~ ⑨,-,5,1,7,2,15,Upper row: cells 5 to 7 from the left - grey X X then a grey dotted box containing ...... then grey X X - under the bracket printed 5 ~ 9 whose right end drops just left of the cell under the circled 10,STOP 1. Outlined circled numerals with a printed tilde. Only 3 cells are drawn for 5 printed indices; the middle drawn cell is a dotted continuation box with no X and no nibble divider
D1,"⑩, ⑪",-,8,1,9,2,15,Upper row: cells 8 and 9 from the left (both white) under the bracket printed 10 comma 11; immediately right of the grey cell that ends the 5 ~ 9 bracket,STOP 2. Outlined circled numerals separated by a printed comma
D1,⑫,-,10,1,10,2,15,Upper row: 10th cell from the left (grey) under the outlined circled 12; immediately right of the second cell under the 10 comma 11 bracket,STOP 2. Outlined circled numeral
D1,⑬,-,11,1,11,2,15,Upper row: 11th cell from the left (white) under the outlined circled 13; immediately right of the grey cell under the circled 12,STOP 2. Outlined circled numeral
D1,⑭,-,12,1,12,2,15,Upper row: 12th cell from the left; the grey cell printed X then 0; directly under the outlined circled 14,STOP 2. Outlined circled numeral. Left nibble printed X and right nibble printed 0
D1,⑮ ~ ⑰,-,13,1,15,2,15,Upper row: cells 13 to 15 from the left (three white cells) under the bracket printed 15 ~ 17; immediately right of the grey cell printed X 0,STOP 2. Outlined circled numerals with a printed tilde. Three printed indices over three drawn cells
D1,⑱ ~ ⑳,-,16,1,18,2,15,Upper row: cells 16 to 18 from the left (three grey cells) under the bracket printed 18 ~ 20,STOP 2. Outlined circled numerals with a printed tilde. Three printed indices over three drawn cells
D1,㉑ ~ ㉓,-,19,1,21,2,15,Upper row: cells 19 to 21 from the left (three white cells) under the bracket printed 21 ~ 23,STOP 2. Outlined circled numerals with a printed tilde. Three printed indices over three drawn cells
D1,㉔,-,22,1,22,2,15,Upper row: 22nd and last cell (grey) under the outlined circled 24; immediately left of the wrap-round arrow that leads to the lower row,STOP 2. Outlined circled numeral. Last cell of the upper row
D1,㉕ ~ ㉗,-,23,1,25,2,15,Lower row: first three cells (white) immediately right of the arrowhead that enters the lower row; under the bracket printed 25 ~ 27,STOP 2. Outlined circled numerals with a printed tilde. Three printed indices over three drawn cells. Counting continues from the upper row because the arrow wraps the same block
D1,㉘ ~ ㉟,-,26,1,28,2,15,Lower row: cells 4 to 6 counting from the arrowhead - grey X X then a grey dotted box containing ...... then grey X X - under the bracket printed 28 ~ 35,STOP 2 | STOP 3. Outlined circled numerals with a printed tilde. Only 3 cells drawn for 8 printed indices; the legend prints (8 characters; fixed) for this range
D1,㊱ ~ ㊸,-,29,1,31,2,15,Lower row: cells 7 to 9 counting from the arrowhead - white X X then a white dotted box containing ...... then white X X - under the bracket printed 36 ~ 43,STOP 2 | STOP 4. Outlined circled numerals with a printed tilde. Only 3 cells drawn for 8 printed indices; the legend prints (8 characters; fixed) for this range
D1,㊹ ~ (51),-,32,1,34,2,15,Lower row: cells 10 to 12 counting from the arrowhead - grey X X then a grey dotted box containing ...... then grey X X - under the bracket printed 44 ~ 51,STOP 2 | STOP 5. Outlined circled numerals with a printed tilde; the printed glyph for 51 is an outlined circled numeral for which Unicode has no character so it is recorded here as (51). Only 3 cells drawn for 8 printed indices; the legend prints (8 characters; fixed) for this range
D1,❺ ~ (51 filled),-,35,1,35,2,15,Lower row: cell 13 counting from the arrowhead - the wide white box with a dotted outline holding one long row of dots - lying between the grey cell that ends the 44 ~ 51 bracket and the first grey cell under the 52 ~ 67 bracket,STOP 2 | STOP 6. Filled (reversed) circled numerals - white digits on solid black discs - with a printed tilde; the printed glyph for the filled 51 has no Unicode character so it is recorded here as (51 filled). One drawn region only; no cell divisions and no nibble divider are printed inside it; nibbles 1 and 2 are the whole-cell recording convention and are not printed
D1,(52) ~ (67),-,36,1,38,2,15,Lower row: cells 14 to 16 counting from the arrowhead - grey X X then a grey dotted box containing ...... then grey X X - under the bracket printed 52 ~ 67; these are the last cells of the diagram,STOP 2 | STOP 7. Outlined circled numerals with a printed tilde; the printed glyphs for 52 and 67 are outlined circled numerals for which Unicode has no characters so they are recorded here as (52) and (67). Only 3 cells drawn for 16 printed indices; the legend prints (16 characters; fixed) for this range
D2,③,-,1,1,1,2,15,The single one-byte box in the left column below the heading that reads circled-4 Select memory setting; the outlined circled 3 sits centred above that box and the word Fixed points up into its left half,STOP 8. Outlined circled numeral 3 above the box while the heading immediately above prints outlined circled 4. Measured within this inset's own diagram: the box is its first and only cell. Left nibble printed 0 with a leader to Fixed; right nibble printed X with a leader to the list 0=OFF* 1=star1 2=star2 3=star3
D3,⑬,-,1,1,1,2,15,The single one-byte box at the foot of the left column below the heading that reads circled-13 Duplex and Tone settings; the outlined circled 13 sits centred above the box,Outlined circled numeral. Measured within this inset's own diagram: the box is its first and only cell. Left nibble printed X with a leader down to the list 0=Duplex OFF 1=Duplex- 2=Duplex+ 3=RPS; right nibble printed X with a leader right to the list 0=OFF 1=TONE 2=TSQL 3=DTCS
D4,⑭,-,1,1,1,2,15,The single one-byte box near the top of the right column below the heading that reads circled-14 Digital squelch setting; the outlined circled 14 sits centred above the box and the word Fixed points up into its right half,Outlined circled numeral. Measured within this inset's own diagram: the box is its first and only cell. Left nibble printed X with a leader down to the list 0=Digital squelch function OFF 1=Digital call sign squelch function ON (DSQL) 2=Digital code squelch function ON (CSQL); right nibble printed 0 with a leader to Fixed
D5,①,-,1,1,1,2,16,Right column: the two-byte box under Command: 1A 01; leftmost cell directly under the outlined circled 1,Outlined circled numeral centred over the cell with no bracket or leader line. Cell holds X and X either side of a dotted vertical divider
D5,②,-,2,1,2,2,16,Right column: the two-byte box under Command: 1A 01; the right-hand cell directly under the outlined circled 2 and immediately right of the cell under the circled 1,Outlined circled numeral centred over the cell with no bracket or leader line. Last cell of the diagram
