diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,"①, ②",-,1,1,2,2,12,"Byte strip under ""• Memory content / Command: 1A 00""; the two leftmost shaded X:X cells, spanned by the brace labelled ""①, ②"" whose right leg lands on the rule between the 2nd and 3rd cells.","Printed circled numerals read as byte positions 1 and 2; drawn cells 1-2 of 18; whole bytes, nibble divider is the dotted rule inside each cell; no nibble numbering printed"
D1,③,-,3,1,3,2,12,"Byte strip under ""• Memory content""; the single unshaded X:X cell, third from the left, with the circled numeral ③ centred above it and no brace legs.","Printed circled numeral read as byte position 3; drawn cell 3 of 18; byte ③ is drawn again, enlarged, in diagram D2"
D1,④ ~ ⑧,-,4,1,8,2,12,"Byte strip under ""• Memory content""; the group beginning with the shaded X:X cell immediately right of the unshaded ③ cell, spanned by the brace ""④ ~ ⑧"" that starts at that cell's left rule and ends in the V above the rule before the ⑨ cell; the group contains a dashed ""..."" cell between its two X:X cells.","STOP 1; printed indices span 5 byte positions 4-8; measured drawn extent is 3 cells (drawn cells 4-6 of 18), of which cell 5 is a dashed ""..."" abbreviation cell with no nibble divider"
D1,"⑨, ⑩",-,9,1,10,2,12,"Byte strip under ""• Memory content""; the two unshaded X:X cells immediately right of the V vertex that closes the ④ ~ ⑧ brace, spanned by the brace labelled ""⑨, ⑩"".","Printed circled numerals read as byte positions 9 and 10; drawn cells 7-8 of 18; STOP 3"
D1,⑪,-,11,1,11,2,12,"Byte strip under ""• Memory content""; the single shaded X:X cell with the circled numeral ⑪ centred above it and no brace legs, immediately right of the ⑨, ⑩ pair.","Printed circled numeral read as byte position 11; drawn cell 9 of 18; byte ⑪ is drawn again, enlarged, in diagram D3; STOP 3"
D1,⑫ ~ ⑭,-,12,1,14,2,12,"Byte strip under ""• Memory content""; the three unshaded X:X cells right of the ⑪ cell, spanned by the brace ""⑫ ~ ⑭"" that starts at the left rule of the first of them and ends in the V above the rule after the third.","Printed indices span 3 byte positions 12-14; measured drawn extent is 3 cells (drawn cells 10-12 of 18); printed and drawn extents agree; STOP 3 for the running offset"
D1,⑮ ~ ⑰,-,15,1,17,2,12,"Byte strip under ""• Memory content""; the three shaded X:X cells immediately right of the V that closes the ⑫ ~ ⑭ brace, spanned by the brace ""⑮ ~ ⑰"".","Printed indices span 3 byte positions 15-17; measured drawn extent is 3 cells (drawn cells 13-15 of 18); printed and drawn extents agree; second, separately measured occurrence of the 3-byte block shape also seen at ⑫ ~ ⑭; STOP 3 for the running offset"
D1,⑱ ~ ㉗,-,18,1,27,2,12,"Byte strip under ""• Memory content""; the rightmost group, spanned by the brace ""⑱ ~ ㉗"" that starts at the V after the ⑮ ~ ⑰ block and ends at the right-hand end of the strip; the group is a shaded X:X cell, a dashed ""..."" cell, then a shaded X:X cell.","STOP 2; printed indices span 10 byte positions 18-27; measured drawn extent is 3 cells (drawn cells 16-18 of 18), of which cell 17 is a dashed ""..."" abbreviation cell with no nibble divider"
D2,③,-,1,1,1,2,12,"The enlarged single-byte box under the heading ""③ Select memory setting"", left column; the box printed ""0"" then a dotted rule then ""X"", with the circled numeral ③ centred above it.","STOP 4; printed index is ③ but the measured cell is the first and only cell of this diagram's own block; left nibble prints 0 with an arrow to ""Fixed"", right nibble prints X with an arrow to the bracketed list 0=OFF / 1= ★1 / 2= ★2 / 3= ★3; no nibble numbering printed"
D3,⑪,-,1,1,1,2,12,"The enlarged single-byte box under the heading ""⑪ Data mode and tone type settings"", right column; the box printed ""X"" then a dotted rule then ""X"", with the circled numeral ⑪ centred above it.","STOP 5; printed index is ⑪ but the measured cell is the first and only cell of this diagram's own block; leader arrows cross - the upper printed label ""0: OFF, 1: TONE, 2: TSQL"" lands on the right nibble and the lower printed label ""0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3"" lands on the left nibble; no nibble numbering printed"
