diagram_id,field_index,label_verbatim,width_bytes,encoding,values_verbatim,pdf_page,visual_anchor,notes
D1,"①, ②",Memory channel numbers,2,enum_byte,"00 01 ~ 00 99: Memory channel 01 ~ 99 | 01 00: Programmed scan edge P1 | 01 01: Programmed scan edge P2 | ①, ②: Memory channel (00 01~00 99)",12,"D1 is the byte band across the top of the page under ‘• Memory content / Command: 1A 00’; this field is the leftmost pair of shaded cells under the bracket labelled ‘①, ②’, and its values are printed in the left-column paragraph headed ‘①, ② Memory channel numbers’ immediately below the band.","Measured position: drawn cells 1-2 of 18 = bytes 1-2 of the block. encoding=enum_byte because the page prints whole-byte codes against meanings and states no numeric encoding; it does not say BCD or binary. The fourth value is printed separately in the block headed ‘To clear the memory channel contents on 1A 00:’ in the right column, where the tilde is printed unspaced."
D1,③,Select memory setting,1,bitfield,"0=OFF | 1= ★1 | 2= ★2 | 3= ★3 | ③: “FF”",12,"D1, the third drawn cell of the band (the first white cell), with the circled ③ printed directly above it and no bracket; values are printed in the left-column paragraph headed ‘③ Select memory setting’ and in the right-column ‘To clear…’ block.","Measured position: drawn cell 3 of 18 = byte 3. encoding=bitfield because the ③ sub-diagram (D2) splits the byte into an upper nibble printed as a literal 0 labelled ‘Fixed’ and a lower nibble carrying the four-value list. ‘ⓘSet 0 for P1 and P2.’ is printed beneath the sub-diagram."
D1,④ ~ ⑧,Operating frequency setting,5,bcd_packed,10 Hz digit: 0–9 | 1 Hz digit: 0–9 | 1 kHz digit: 0–9 | 100 Hz digit: 0–9 | 100 kHz digit: 0–9 | 10 kHz digit: 0–9 | 10 MHz digit: 0–6 | 1 MHz digit: 0–9 | 1 GHz digit: 0 (Fixed) | 100 MHz digit: 0 (Fixed),11,"The values are the ten rotated nibble labels under the five-byte box of the section headed ‘• Operating frequency / Command: 00, 03, 05, 1C 03’ at the top left of PDF page 11; the field itself is the fourth drawn cell, the dashed ‘…’ cell and the sixth drawn cell of D1 on PDF page 12, under the bracket labelled ‘④ ~ ⑧’.","Measured position: drawn cells 4-6 of 18, the middle cell being a dashed ‘…’ abbreviation, = bytes 4-8. PDF page 12 prints for this field only ‘See “• Operating frequency.”’ and no values of its own. encoding=bcd_packed because the referenced diagram labels each of the ten nibbles with a single decimal digit weight."
D1,"⑨, ⑩",Operating mode setting,2,enum_byte,00:LSB | 01:USB | 02:AM | 03:CW | 04:RTTY | 05:FM | 07:CW-R | 08:RTTY-R | 12:PSK | 13:PSK-R | 01:FIL1 | 02:FIL2 | 03:FIL3 | — | —,11,"The values are the two-column table headed ‘①Receiving mode’ / ‘②Filter setting’ beneath the two-byte box of the section ‘• Operating mode / Command: 01, 04, 06’ in the left column of PDF page 11; the field itself is the seventh and eighth drawn cells of D1 (the two white cells after the ④ ~ ⑧ bracket) on PDF page 12.","Measured position: drawn cells 7-8 of 18 = bytes 9-10. PDF page 12 prints for this field only ‘See “• Operating mode.”’ and no values of its own. Values listed above are, in printed order, the ①Receiving mode column (left sub-column then right sub-column) then the ②Filter setting column including its two printed em-dash cells. encoding=enum_byte because each printed code is a whole byte with a named meaning. PDF page 11 also prints ‘ⓘFilter setting (②) can be skipped with command 01 and 06. In that case, “FIL1” is selected with command 01 and the default filter setting of the receiving mode is automatically selected with command 06.’; that condition is stated for commands 01 and 06, not for 1A 00, and D1 draws both bytes."
D1,⑪,Data mode and tone type settings,1,bitfield,"0: OFF, 1: TONE, 2: TSQL | 0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3",12,"D1, the ninth drawn cell of the band (the single shaded cell between the ⑨, ⑩ and ⑫ ~ ⑭ brackets), with the circled ⑪ printed directly above it; values are printed in the right-column paragraph headed ‘⑪ Data mode and tone type settings’.","Measured position: drawn cell 9 of 18 = byte 11. encoding=bitfield because the ⑪ sub-diagram (D3) splits the byte into two independently enumerated nibbles. Leader routing read off the render: the first-listed legend line (‘0: OFF, 1: TONE, 2: TSQL’) lands on the SECOND (right) nibble and the second-listed line (‘0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3’) lands on the FIRST (left) nibble; values are listed above in printed order, not positional order."
D1,⑫ ~ ⑭,Repeater tone frequency setting,3,bcd_packed,Fixed digit: 0* | Fixed digit: 0* | 100Hz digit: 0–2 | 10 Hz digit: 0–9 | 1 Hz digit: 0–9 | 0.1 Hz digit: 0–9,14,"The values are the six rotated nibble labels under the three-byte box of the section headed ‘• Repeater tone/tone squelch frequency settings / Command: 1B 00, 1B 01’ in the right column of PDF page 14; the field itself is the tenth to twelfth drawn cells of D1 (three white cells) on PDF page 12.","STOP 1. Measured position: drawn cells 10-12 of 18 = bytes 12-14. PDF page 12 prints for this field only ‘See “• Repeater tone/tone squelch settings.”’ and no values of its own. encoding=bcd_packed because the referenced diagram labels each nibble with a single decimal digit weight. The referenced diagram also prints ‘①*’ over its first byte and the footnote ‘*Not necessary when setting a frequency.’"
D1,⑮ ~ ⑰,Tone squelch frequency setting,3,bcd_packed,Fixed digit: 0* | Fixed digit: 0* | 100Hz digit: 0–2 | 10 Hz digit: 0–9 | 1 Hz digit: 0–9 | 0.1 Hz digit: 0–9,14,"The values are the six rotated nibble labels under the three-byte box of the section headed ‘• Repeater tone/tone squelch frequency settings / Command: 1B 00, 1B 01’ in the right column of PDF page 14; the field itself is the thirteenth to fifteenth drawn cells of D1 (the first three shaded cells after the ⑫ ~ ⑭ bracket) on PDF page 12.","STOP 1. Measured position: drawn cells 13-15 of 18 = bytes 15-17. Transcribed independently from the same referenced diagram: PDF page 12 prints ONE cross-reference sentence, ‘See “• Repeater tone/tone squelch settings.”’, covering ⑫ ~ ⑭ and ⑮ ~ ⑰ together, and no separate diagram is printed for tone squelch; the two rows therefore carry the same printed values, which is what the document prints, not a value copied from the counterpart row."
D1,⑱ ~ ㉗,Memory name settings,10,ascii,"A–Z = 41–5A | 0–9 = 30–39 | a-z = 61–7A | ! = 21 | $ = 24 | & = 26 | ? = 3F | ’ = 27 | ^ = 5E | − = 2D | / = 2F | , = 2C | ; = 3B | < = 3C | ( = 28 | [ = 5B | { = 7B | | = 7C | ~ = 7E | # = 23 | % = 25 | \ = 5C | ” = 22 | ` = 60 | + = 2B | ✱ = 2A | . = 2E | : = 3A | = = 3D | > = 3E | ) = 29 | ] = 5D | } = 7D | _ = 5F | @ = 40",12,"D1, the last three drawn cells of the band (a shaded cell, a dashed ‘…’ cell and a final shaded cell) under the bracket labelled ‘⑱ ~ ㉗’ at the right-hand end; the values are the two tables headed ‘- Character codes— Letters and Numbers’ and ‘- Character codes— Symbols’ in the left column lower half of the same page, under the heading ‘• Codes for character entries’.","Measured position: drawn cells 16-18 of 18, the middle cell being a dashed ‘…’ abbreviation, = bytes 18-27. The right-column paragraph prints ‘⑱ ~ ㉗ Memory name settings’, ‘Up to 10 characters.’ and ‘See “• Codes for character entries.”’ and no values of its own. The ‘ = ’ between character and code is a join separator of mine, not printed: the tables print the character and its ASCII code in adjacent cells. Values are listed in printed row order, whole left Character/ASCII pair column first, then the right pair column. encoding=ascii because the tables' column heading is printed as ‘ASCII code’. The command table in the right column prints ‘1A 00 Memory name*’ and the footnote ‘* Usable characters: A to Z, a to z, 0 to 9, (space), ! “ # $ % & ‘ ( ) * + , - . / : ; < = > ? @ [ \ ] ^ _ ` { | } ~’."
D2,③,Select memory setting,1,bitfield,0=OFF | 1= ★1 | 2= ★2 | 3= ★3,12,"D2 is the two-nibble box printed under the left-column heading ‘③ Select memory setting’, roughly one third down PDF page 12, carrying a circled ③ above it and the characters ‘0’ and ‘X’ inside it.","Read independently of D1. Left nibble is printed as a literal ‘0’ and its arrow leads to the word ‘Fixed’; right nibble is printed as ‘X’ and its arrow leads to the bracketed four-line list transcribed above. Leader order matches nibble order here. ‘ⓘSet 0 for P1 and P2.’ is printed below the box. The two nibble sub-fields (0.5 byte each) carry no printed index, so they are not given separate rows."
D3,⑪,Data mode and tone type settings,1,bitfield,"0: OFF, 1: TONE, 2: TSQL | 0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3",12,"D3 is the two-nibble box printed under the right-column heading ‘⑪ Data mode and tone type settings’, near the top of the right column of PDF page 12, carrying a circled ⑪ above it and ‘X’ in both nibbles.","Read independently of D1. Both nibbles are printed as ‘X’. Following each leader by eye: the arrow from the RIGHT (second) nibble runs to the upper, first-listed legend line ‘0: OFF, 1: TONE, 2: TSQL’; the arrow from the LEFT (first) nibble runs down and right to the lower, second-listed line ‘0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3’. Values are listed above in printed order. The two nibble sub-fields (0.5 byte each) carry no printed index, so they are not given separate rows."
