vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
read-record,1,-,2,-,FE FE,-,structural,160,"Data format diagram headed ""Controller to IC-7300"" under the heading ""Data format"": the two leftmost cells, each printed FE, sitting under circled index 1 and above the rotated label ""Preamble code (fixed)"".",Preamble; circled index 1 spans both cells.
read-record,3,-,3,-,94,-,structural,160,"Data format diagram headed ""Controller to IC-7300"": third cell from the left, printed 94, under circled index 2, above the rotated label ""Transceiver's default address"".","Transceiver address. PDF page 126 (""CI-V Address (Default: 94h)"" and """"94h"" is the default address of IC-7300."") states the same value."
read-record,4,-,4,-,E0,-,structural,160,"Data format diagram headed ""Controller to IC-7300"": fourth cell from the left, printed E0, under circled index 3, above the rotated label ""Controller's default address"".",Controller address.
read-record,5,-,6,-,1A 00,-,manual_documented,169,"Line ""Command : 1A 00"" printed immediately below the heading ""• Memory content"", above the data-block diagram.","Command byte and sub-command byte. The same pair is printed on PDF page 162 in the command table row ""1A* | 00 | p. 19-11 | Send/read memory contents""."
read-record,7,-,8,-,00 01,1 | 2,manual_derived,169,"Legend below the data block: the line ""(1), (2) Memory channel numbers"" followed by ""00 01-00 99: Memory channel 01 to 99"".","Channel 01 chosen from the printed range 00 01-00 99; the byte pair ""00 01"" is itself printed as the low end of that range and again in the clear-command recipe ""(1),(2): Memory channel (00 01~00 99)"". Marked derived because the channel was chosen by me."
read-record,9,-,9,-,FD,-,structural,160,"Data format diagram headed ""Controller to IC-7300"": rightmost cell, printed FD, under circled index 7, above the rotated label ""End of message code (fixed)"".",End of message.
set-record-name-with-space,1,-,2,-,FE FE,-,structural,160,"Data format diagram headed ""Controller to IC-7300"" under the heading ""Data format"": the two leftmost cells, each printed FE, sitting under circled index 1 and above the rotated label ""Preamble code (fixed)"".",Preamble; circled index 1 spans both cells.
set-record-name-with-space,3,-,3,-,94,-,structural,160,"Data format diagram headed ""Controller to IC-7300"": third cell from the left, printed 94, under circled index 2, above the rotated label ""Transceiver's default address"".","Transceiver address. PDF page 126 (""CI-V Address (Default: 94h)"" and """"94h"" is the default address of IC-7300."") states the same value."
set-record-name-with-space,4,-,4,-,E0,-,structural,160,"Data format diagram headed ""Controller to IC-7300"": fourth cell from the left, printed E0, under circled index 3, above the rotated label ""Controller's default address"".",Controller address.
set-record-name-with-space,5,-,6,-,1A 00,-,manual_documented,169,"Line ""Command : 1A 00"" printed immediately below the heading ""• Memory content"", above the data-block diagram.","Command byte and sub-command byte. The same pair is printed on PDF page 162 in the command table row ""1A* | 00 | p. 19-11 | Send/read memory contents""."
