diagram_id,field_index,label_verbatim,width_bytes,encoding,values_verbatim,pdf_page,visual_anchor,notes
D1,"①, ②",Memory channel numbers,2,enum_byte,00 01–00 99: Memory channel 01 to 99 | 01 00: Programmed scan edge P1 | 01 01: Programmed scan edge P2,169,"First bracket at the far left of the index band, spanning the first two shaded X:X cells; the matching text is the first item in the left-hand column, headed ""①, ② Memory channel numbers"".","Index numerals drawn as black numerals in outlined circles. Width 2 = the two cells the bracket spans, equal to the printed index range 1-2. enum_byte because the page prints whole-byte code values against their meanings and names no encoding otherwise. The page prints a space run between each code and its meaning; joined here to one space. Printed index 1-2 equals measured byte position 1-2. A conditional alternative for this field is printed lower in the right-hand column - see the row with field_index ""①,②""."
D1,③,Split and Select memory setting,1,enum_nibble,"0=OFF | 1= ★1 | 2= ★2 | 3= ★3 | 0=Split OFF, 1=Split ON",169,"Third cell from the left of the index band, white (unshaded), with ③ printed directly above it; the detail box that repeats this cell is the first figure in the left-hand column, under the heading ""③ Split and Select memory setting"".","Outlined-circle numeral. The detail box is one cell divided by a dashed vertical rule into two half-byte halves. Leaders followed by eye: the leader from the LEFT half lands on ""0=Split OFF, 1=Split ON""; the leader from the RIGHT half lands on the bracketed list ""0=OFF"" through ""3= ★3"". The labels' top-to-bottom order is the reverse of the halves' left-to-right order. Values listed here in printed top-to-bottom order. enum_nibble because each half-byte carries its own one-digit code list. Also printed below the box: ""ⓘSet both 0 for P1 and P2."" Printed index 3 equals measured byte position 3."
D1,④–⑧,Operating frequency setting,5,unstated,"See ""• Operating frequency.""",169,"Fourth bracket of the index band, spanning a shaded X:X cell, a shaded dashed-outline cell containing ""..."" and a second shaded X:X cell; the matching text is the third item in the left-hand column.","Outlined-circle numerals. The band prints the range as ""④–⑧"" with a dash; the left-hand column heading prints it as ""④~⑧"" with a tilde. Width 5 = the printed index range 4-8; only three cells are drawn because the middle one is a dashed-outline elision marker containing ""..."" rather than a byte cell. No encoding and no values are printed here - the page gives only the cross-reference. Printed index 4-8 equals measured byte position 4-8. A second documented width for this field is printed lower in the right-hand column - see the row with field_index ""④""."
D1,"⑨, ⑩",Operating mode setting,2,unstated,"See ""• Operating mode.""",169,"Fifth bracket of the index band, spanning the two white X:X cells that follow the ④–⑧ group; the matching text is the fourth and last item in the left-hand column.","Outlined-circle numerals. Width 2 = the two cells the bracket spans, equal to the printed index range 9-10. No encoding and no values are printed here - the page gives only the cross-reference. Printed index 9-10 equals measured byte position 9-10."
D1,⑪,Data mode and tone type settings,1,enum_nibble,"0: OFF, 1: TONE, 2: TSQL | 0=Data mode OFF | 1=Data mode ON",169,"Single shaded cell of the index band with ⑪ printed directly above it, immediately after the two white ⑨/⑩ cells; the detail box that repeats it is the first figure in the right-hand column, under the heading ""⑪ Data mode and tone type settings"".","Outlined-circle numeral. The detail box is one cell divided by a dashed vertical rule into two half-byte halves. Leaders followed by eye: the leader from the RIGHT half lands on ""0: OFF, 1: TONE, 2: TSQL""; the leader from the LEFT half lands on ""0=Data mode OFF"" and ""1=Data mode ON"". The labels' top-to-bottom order is the reverse of the halves' left-to-right order. Values listed here in printed top-to-bottom order. enum_nibble because each half-byte carries its own one-digit code list. Printed index 11 equals measured byte position 11."
D1,⑫–⑭,Repeater tone frequency setting,3,unstated,"See ""• Repeater tone/tone squelch settings.""",169,"Sixth bracket of the index band, spanning the three white X:X cells that follow the shaded ⑪ cell; the matching text is the second item in the right-hand column, printed in bold.","Outlined-circle numerals. The band prints ""⑫–⑭"" with a dash; the right-hand column heading prints ""⑫~⑭"" with a tilde. Width 3 = the three cells the bracket spans, equal to the printed index range 12-14. The single ""See"" line is printed once, below both this heading and the ⑮~⑰ heading, and is transcribed into both rows. Printed index 12-14 equals measured byte position 12-14."
D1,⑮–⑰,Tone squelch frequency setting,3,unstated,"See ""• Repeater tone/tone squelch settings.""",169,"Seventh bracket of the index band, spanning the three shaded X:X cells that follow the three white ⑫–⑭ cells and end at the dotted elision region; the matching text is the third item in the right-hand column, printed in bold directly below the ⑫~⑭ heading.","Outlined-circle numerals. The band prints ""⑮–⑰"" with a dash; the right-hand column heading prints ""⑮~⑰"" with a tilde. Width 3 = the three cells the bracket spans, equal to the printed index range 15-17. The single ""See"" line is printed once, below both the ⑫~⑭ heading and this one, and is transcribed into both rows. Printed index 15-17 equals measured byte position 15-17."
D1,❹–⓱,,14,unstated,,169,"Eighth bracket of the index band, spanning the wide dotted-outline region that contains a row of dots and no X:X cells, between the last shaded ⑮–⑰ cell and the shaded ⑱ cell.","STOP 1 STOP 2. Index numerals drawn as WHITE numerals reversed out of FILLED BLACK circles, unlike every other index on this diagram, which uses black numerals in outlined circles. No label, no encoding and no values are printed for this group. Width 14 = the printed index range 4-17; it cannot be counted on the diagram because the whole group is drawn as one dotted elision region with no byte cells. Measured byte position, accumulating the printed index-range widths along the band, is 18-31, which is not the printed index 4-17; both are recorded and neither is reconciled. Printed about this group in the right-hand column NOTE: ""• The same data as ④–⑰ are stored in ❹–⓱."" | ""• When the Split function is ON, the data of ❹–⓱ is used for transmit."" | ""• Even if the Split function is OFF, enter the data into ❹–⓱ to match your transceiver. We recommend that you set the same data as ④–⑰."""
D1,⑱–㉗,Memory name settings,10,ascii,"See ""• Codes for character entries""",169,"Ninth and last bracket of the index band, at the far right, spanning a shaded X:X cell, a shaded dashed-outline cell containing ""..."" and a final shaded X:X cell.","STOP 2. Outlined-circle numerals. The band prints ""⑱–㉗"" with a dash; the right-hand column heading prints ""⑱~㉗"" with a tilde. Width 10 = the printed index range 18-27, corroborated by the printed line ""Up to 10 characters."" Only three cells are drawn; the middle one is a dashed-outline elision marker containing ""..."". Measured byte position, accumulating the printed index-range widths along the band, is 32-41, which is not the printed index 18-27; both are recorded and neither is reconciled. ascii because the cross-referenced section ""• Codes for character entries"" on PDF page 168 gives every character an ""ASCII code"" - ""A–Z 41–5A"", ""a-z 61–7A"", ""0–9 30–39"", plus a symbols table - and the command table on that page reads ""1A 00 Memory name All characters are usable."""
D1,"①,②",Memory channel,2,conditional,(00 01~00 99),169,"Right-hand column, first line of the three-line list under ""To clear the memory channel contents on 1A 00:"", printed above the NOTE box.","Condition printed verbatim: ""To clear the memory channel contents on 1A 00:"". Outlined-circle numerals, printed here as ""①,②"" with no space after the comma, unlike the left-hand column heading ""①, ②"". The line reads ""①,②: Memory channel (00 01~00 99)""; the parenthesised range is transcribed into values_verbatim and the rest into label_verbatim, nothing added or removed. Width 2 counted from the two-byte codes printed. The list stops at ④; nothing is printed about ⑤ onwards."
