diagram_id,field_index,index_style,label_verbatim,pdf_page,visual_anchor,notes
D1,"①, ②",circled,Memory channel numbers,169,"Top data-block strip under ""• Memory content"" / ""Command : 1A 00""; bracket over the first two shaded X:X cells at the left end of the strip.","Label from the legend entry printed below the strip. Legend prints the same index as ""①, ②""."
D1,③,circled,Split and Select memory setting,169,"Same top strip; single circled numeral centred over the third cell (white X:X), immediately right of the ""①, ②"" bracket.","Label from the legend entry printed below the strip. No bracket is drawn; the numeral sits directly over one cell."
D1,④–⑧,circled,Operating frequency setting,169,"Same top strip; bracket spanning the fourth to sixth cells (shaded X:X, shaded ""..."" ellipsis cell, shaded X:X), right of the ③ cell.","Label from the legend entry printed below the strip. Strip prints a dash separator; the legend entry prints ""④~⑧"" with a tilde. STOP 3"
D1,"⑨, ⑩",circled,Operating mode setting,169,"Same top strip; bracket over the two white X:X cells immediately right of the ④–⑧ group.",Label from the legend entry printed below the strip.
D1,⑪,circled,Data mode and tone type settings,169,"Same top strip; single circled numeral centred over the shaded X:X cell immediately right of the ""⑨, ⑩"" bracket.","Label from the legend entry printed in the right column below the strip. No bracket is drawn; the numeral sits directly over one cell."
D1,⑫–⑭,circled,Repeater tone frequency setting,169,"Same top strip; bracket over the three white X:X cells immediately right of the ⑪ cell.","Label from the legend entry printed below the strip; that entry is set in bold. Strip prints a dash separator; the legend entry prints ""⑫~⑭"" with a tilde. STOP 3"
D1,⑮–⑰,circled,Tone squelch frequency setting,169,"Same top strip; bracket over the three shaded X:X cells immediately right of the ⑫–⑭ group.","Label from the legend entry printed below the strip; that entry is set in bold. Strip prints a dash separator; the legend entry prints ""⑮~⑰"" with a tilde. STOP 3"
D1,❹–⓱,filled,,169,"Same top strip; label over the dashed-outline abbreviated region (a row of dots, no X:X cells drawn) between the ⑮–⑰ group and the ⑱–㉗ group.","Numerals drawn white on solid black discs. Repeats indices already printed earlier in the same strip and runs 4 to 17 after 15 to 17. No legend entry is printed against this index, so nothing is printed as its label. STOP 1 | STOP 2"
D1,⑱–㉗,circled,Memory name settings,169,"Same top strip; bracket over the last three cells at the right end (shaded X:X, shaded ""..."" ellipsis cell, shaded X:X).","Label from the legend entry printed in the right column; that entry is set in bold. Strip prints a dash separator; the legend entry prints ""⑱~㉗"" with a tilde. STOP 3"
D2,③,circled,Split and Select memory setting,169,"Left column, expansion box below the heading ""③ Split and Select memory setting""; circled numeral centred above the two-nibble box drawn as X : X with a dotted centre rule.","Only numbered index in this diagram. Label taken from the section heading printed immediately above the box; nothing is printed against the numeral inside the box itself. Leader arrows from the box carry unnumbered value lists."
D3,⑪,circled,Data mode and tone type settings,169,"Right column, expansion box below the heading ""⑪ Data mode and tone type settings""; circled numeral centred above the two-nibble box drawn as X : X with a dotted centre rule.","Only numbered index in this diagram. Label taken from the section heading printed immediately above the box; nothing is printed against the numeral inside the box itself. Leader arrows from the box carry unnumbered value lists."
