diagram_id,field_index,label_verbatim,width_bytes,encoding,values_verbatim,pdf_page,visual_anchor,notes
D1,"①, ②",Memory channel numbers,2,bcd_packed,0001–0099: Memory channel 1 to 99 | 0100: Programmed scan edge P1 | 0101: Programmed scan edge P2,263,"Page 263, upper diagram (the single byte band under “• Memory content setting” / “Command: 1A 00”): the bracket labelled “①, ②” over the first two byte cells, both shaded; the value list is the first block of the left text column, directly under the diagram.","Measured position on the render: drawn cells 1-2 of 18, i.e. bytes 1-2 of 27; equals the printed index. encoding=bcd_packed because the two bytes are drawn as four digit cells and the printed values are four decimal digits whose meaning is stated decimally (0099 = “channel 99”, not 0x99). The diagram bracket prints this index as “①, ②”, identical to the body text. Same page also prints, in a shaded note beneath the values: “To clear the memory channel contents, add the code “FF” after the memory channel number. (instead of the data ③ to ㉗) This completes the memory clearing.”"
D1,③,Select memory setting,1,enum_byte,00 : OFF | 01 : ★1 | 02 : ★2 | 03 : ★3,263,"Page 263, upper diagram: the single unshaded byte cell labelled “③”, third cell from the left; the value list is the second block of the left text column.","Measured position on the render: drawn cell 3 of 18, i.e. byte 3 of 27; equals the printed index. encoding=enum_byte because the page prints a closed list of two-digit byte codes each against a named meaning. Values are printed with a space either side of the colon (“00 : OFF”), unlike the other lists on the page. ★ is a solid five-pointed star as drawn. The “FF” clearing note printed above states the data ③ to ㉗ are replaced by “FF” when clearing a channel."
D1,④~⑧,Operating frequency setting,5,bcd_packed,10 Hz digit: 0–9 | 1 Hz digit: 0–9 | 1 kHz digit: 0–9 | 100 Hz digit: 0–9 | 100 kHz digit: 0–9 | 10 kHz digit: 0–9 | 10 MHz digit: 0–6 | 1 MHz digit: 0–9 | 1000 MHz digit: 0 (Fixed) | 100 MHz digit: 0 (Fixed),260,"Page 260 (folio 18-11), first diagram of the left column, under “◇ Data content description” / “• Operating frequency” / “Command: 00, 03, 05, 1C 03”: five byte cells indexed ①-⑤ with ten vertical (rotated 90°) digit labels beneath, read left to right.","Measured position on the render of page 263: drawn cells 4-6 of 18 (a shaded byte cell, a dashed “…” elision cell, a shaded byte cell) standing for bytes 4-8 of 27; equals the printed index range. Page 263 prints for this field only the heading and See “• Operating frequency.” - no values - so the values here are the ones printed at the cross-reference on page 260. encoding=bcd_packed because each half-byte cell is labelled a decimal digit place with a decimal range. Page 260 draws the fifth byte with literal “0” “0” in its cells. Body text prints the index with a swung dash (④~⑧); the diagram bracket prints it with a horizontal dash (④—⑧)."
D1,"⑨, ⑩",Operating mode setting,2,enum_byte,① Operating mode | 00: LSB | 01: USB | 02: AM | 03: CW | 04: RTTY | 05: FM | 07: CW-R | 08: RTTY-R | 12: PSK | 13: PSK-R | ② Filter setting | 01: FIL1 | 02: FIL2 | 03: FIL3,260,"Page 260 (folio 18-11), left column, under “• Operating mode” / “Command: 01, 04, 06”: the two-byte diagram indexed ① ② and the table beneath it headed “① Operating mode” (two sub-columns) and “② Filter setting”.","Measured position on the render of page 263: drawn cells 7-8 of 18, i.e. bytes 9-10 of 27; equals the printed index. Page 263 prints only the heading and See “• Operating mode.” - no values. encoding=enum_byte because each byte is printed as a closed list of two-digit codes with named meanings. Reading order: within the “① Operating mode” header the table has two sub-columns; transcribed left sub-column top to bottom then right sub-column top to bottom. Codes 06, 09, 10 and 11 are not printed. The document does not state which of ⑨ / ⑩ carries the operating mode and which the filter; the referenced diagram indexes them ① and ② in that order. Page 260 also prints “Filter setting (②) can be skipped with command 01 and 06.” - a statement made for commands 01/06, not for 1A 00, and the 1A 00 diagram draws both bytes."
D1,⑪,Data mode and tone type settings,1,enum_nibble,"0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3 | 0: OFF, 1: TONE, 2: TSQL",263,"Page 263, upper diagram: the single shaded byte cell labelled “⑪”, ninth drawn cell, immediately right of the two unshaded ⑨/⑩ cells; semantics in the right text column under the heading “⑪ Data mode and tone type settings”.","Measured position on the render: drawn cell 9 of 18, i.e. byte 11 of 27; equals the printed index. encoding=enum_nibble because the sub-diagram splits the byte with a dotted rule and gives each half its own closed code list. values_verbatim is given in nibble order (left nibble first, then right nibble); the two lines are PRINTED in the opposite order - see diagram D2 rows and Hazard (c)."
D1,⑫~⑭,Repeater tone frequency setting,3,bcd_packed,Fixed digit: 0* | Fixed digit: 0* | 100Hz digit: 0–2 | 10 Hz digit: 0–9 | 1 Hz digit: 0–9 | 0.1 Hz digit: 0–9,262,"Page 262 (folio 18-13), first diagram of the left column, under “• Repeater tone/tone squelch frequency settings” / “Command: 1B 00, 1B 01”: three byte cells indexed ①* ② ③ with six vertical (rotated 90°) digit labels beneath, read left to right.","Measured position on the render of page 263: drawn cells 10-12 of 18, i.e. bytes 12-14 of 27; equals the printed index range. Page 263 prints only the heading and See “• Repeater tone/tone squelch settings.” - no values. encoding=bcd_packed because each half-byte cell is labelled a decimal digit place with a decimal range. The referenced diagram prints a footnote “*Not necessary when setting a frequency.” against its byte ①*; that note is printed for Command: 1B 00, 1B 01, not for 1A 00, and the 1A 00 diagram draws three bytes here, so no conditional width is recorded. “100Hz digit” is printed without a space, unlike its neighbours."
D1,⑮~⑰,Tone squelch frequency setting,3,bcd_packed,Fixed digit: 0* | Fixed digit: 0* | 100Hz digit: 0–2 | 10 Hz digit: 0–9 | 1 Hz digit: 0–9 | 0.1 Hz digit: 0–9,262,"Page 262 (folio 18-13), same first diagram of the left column as for ⑫~⑭ (“• Repeater tone/tone squelch frequency settings”, Command: 1B 00, 1B 01); page 263 sends both ⑫~⑭ and ⑮~⑰ to this one diagram.","Transcribed independently from the same referenced diagram, not copied from the ⑫~⑭ row: page 263 gives ⑮~⑰ the same single cross-reference and prints no separate value list for it, and the two rows therefore agree. Measured position on the render of page 263: drawn cells 13-15 of 18, i.e. bytes 15-17 of 27; equals the printed index range. encoding=bcd_packed for the same reason as ⑫~⑭. The document prints one diagram for both fields; it does not print a tone-squelch-specific diagram."
D1,⑱~㉗,Memory name settings,10,ascii,"A–Z: 41–5A | a-z: 61–7A | !: 21 | #: 23 | $: 24 | %: 25 | &: 26 | \: 5C | ?: 3F | ”: 22 | ’: 27 | `: 60 | ^: 5E | +: 2B | –: 2D | ✻: 2A | /: 2F | .: 2E | ,: 2C | :: 3A | ;: 3B | =: 3D | <: 3C | >: 3E | (: 28 | ): 29 | [: 5B | ]: 5D | {: 7B | }: 7D | |: 7C | _: 5F | ‾: 7E | @: 40 | 1A 00: Memory name All characters are usable.",261,"Page 261 (folio 18-12), right column, under “• Codes for the memory name, opening message, NTP server address, CLOCK2 name, network name, and network radio name contents”: the “- Character codes— Letters” table, then the “- Character codes— Symbols” table (four columns, read row by row: left Character/ASCII pair then right pair), then the “Command / Set item/usable characters” table whose first row is “1A 00”.","Measured position on the render of page 263: drawn cells 16-18 of 18 (an unshaded byte cell, a dashed “…” elision cell, an unshaded byte cell) standing for bytes 18-27 of 27; equals the printed index range. Page 263 prints for this field only “Up to 10 characters.” and See “• Codes for the memory name, opening message, NTP server address, CLOCK2 name, network name, and network radio name contents.” encoding=ascii because the referenced tables head their code column “ASCII code” and give a hex code per character. No ASCII code for the digits 0–9 and none for the space character is printed in these two tables, although the 1A 00 row states “All characters are usable.” The glyph printed against 2A is a heavy six-pointed asterisk and the glyph printed against 7E is a raised bar, transcribed here as ✻ and ‾ as drawn."
D2,⑪,Data mode and tone type settings,1,enum_nibble,"0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3 | 0: OFF, 1: TONE, 2: TSQL",263,"Page 263, right text column, third block down: the heading “⑪ Data mode and tone type settings” with a one-byte box beneath it, the box labelled “⑪” above and split by a dotted vertical rule into two X cells, with two arrowed leader lines running from the two cells to two lines of text on the right.","Sub-diagram of field ⑪ of D1, drawn as one byte. encoding=enum_nibble because the dotted rule halves the byte and each half is given its own closed code list. values_verbatim is given in nibble order (left nibble first); the two text lines are PRINTED in the opposite order. Width 1 here is the same byte as the two 0.5-byte rows below - the three D2 rows are not additive."
D2,,,0.5,enum_nibble,"0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3",263,"Page 263, right text column, the “⑪ Data mode and tone type settings” sub-diagram: the LEFT (first) X cell of the byte box; its arrow drops from the cell, runs down past the first line of text and turns right to join the SECOND (lower) line, “0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3”.","No index and no label are printed for this nibble, hence the empty field_index and label_verbatim cells. encoding=enum_nibble because a closed code list is printed against a half-byte cell. Leader followed by eye at 400, 500 and 600 dpi on two independent rasters: the left cell's vertical line passes below the upper text line's horizontal rule and terminates on the lower line. This is the crossed-leader case: the left cell takes the second-printed line."
