diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,"①, ②",-,1,1,2,2,263,"D1 band: the two leftmost byte cells, both grey-filled, each printed X:X with a dotted vertical nibble rule; the square bracket above them carries ""①, ②"" and the next cell to the right is the white cell labelled ③.","Bracket left foot lands on the left edge of drawn cell 1; right foot lands on the right edge of drawn cell 2. Two printed indices over two drawn cells."
D1,③,-,3,1,3,2,263,"D1 band: the third drawn cell from the left, the first white (unshaded) cell, printed X:X, directly under the circled numeral ③, which sits between the ""①, ②"" bracket and the ④–⑧ bracket.","No bracket is drawn for ③; the circled numeral is centred over this single cell. One printed index over one drawn cell."
D1,④–⑧,-,4,1,6,2,263,"D1 band: drawn cells 4 to 6 under the bracket labelled ④–⑧; cell 4 is grey X:X, cell 5 is a grey cell containing an ellipsis ... with dashed top and bottom rules and no X, cell 6 is grey X:X.","STOP 1 | STOP 3. Bracket left foot on left edge of drawn cell 4; right foot (V) on right edge of drawn cell 6. Five printed indices over three drawn cells, one of which is an ellipsis cell. Measured extent recorded as drawn; not reconciled with the printed index count."
D1,"⑨, ⑩",-,7,1,8,2,263,"D1 band: drawn cells 7 and 8, both white X:X, under the bracket labelled ""⑨, ⑩""; immediately to their left is the grey cell that closes the ④–⑧ bracket, and immediately to their right is the grey cell labelled ⑪.","STOP 3. Bracket left foot on left edge of drawn cell 7; right foot on right edge of drawn cell 8. Two printed indices over two drawn cells."
D1,⑪,-,9,1,9,2,263,"D1 band: drawn cell 9, a grey X:X cell standing alone between the ""⑨, ⑩"" bracket and the ⑫–⑭ bracket, with the circled numeral ⑪ centred above it and no bracket.","STOP 3. One printed index over one drawn cell. This byte is expanded by diagram D2 below the band."
D1,⑫–⑭,-,10,1,12,2,263,"D1 band: drawn cells 10, 11 and 12, all three white X:X, under the bracket labelled ⑫–⑭; they lie between the grey ⑪ cell on the left and the first of the three grey ⑮–⑰ cells on the right.","STOP 3. Bracket left foot on left edge of drawn cell 10; right foot (V) on right edge of drawn cell 12. Three printed indices over three drawn cells."
D1,⑮–⑰,-,13,1,15,2,263,"D1 band: drawn cells 13, 14 and 15, the run of three consecutive grey X:X cells under the bracket labelled ⑮–⑰, immediately following the three white ⑫–⑭ cells.","STOP 3. Bracket left foot on left edge of drawn cell 13; right foot (V) on right edge of drawn cell 15. Three printed indices over three drawn cells."
D1,⑱–㉗,-,16,1,18,2,263,"D1 band: the last three drawn cells at the right-hand end, under the bracket labelled ⑱–㉗; cell 16 is white X:X, cell 17 is a white cell containing an ellipsis ... with dashed top and bottom rules and no X, cell 18 is white X:X and is the last cell of the band.","STOP 2 | STOP 3. Bracket left foot on left edge of drawn cell 16; right foot on right edge of drawn cell 18, which is where the band ends. Ten printed indices over three drawn cells, one of which is an ellipsis cell. Measured extent recorded as drawn; not reconciled with the printed index count."
D2,⑪,-,1,1,1,2,263,"D2: the single two-nibble box in the right-hand column under the heading ⑪ Data mode and tone type settings; the circled numeral ⑪ is centred above the whole box, which contains X, a dotted vertical rule, X.","One printed index over the one drawn byte cell of this sub-diagram. Positions here are counted within D2's own diagram, which starts at its own first cell."
D2,,-,1,1,1,1,263,"D2: the left-hand X inside the single box, on the left of the dotted vertical nibble rule; an arrow rises into it from a stem that descends past the upper leader and turns right along the LOWER horizontal leader.","No index numeral is printed for this nibble. Leader followed by eye: this nibble carries the legend printed on the LOWER line, ""0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3"". Hazard (c): the legend printed first (upper line) belongs to the other nibble."
D2,,-,1,2,1,2,263,"D2: the right-hand X inside the single box, on the right of the dotted vertical nibble rule; an arrow rises into it from a short stem that turns right along the UPPER horizontal leader.","No index numeral is printed for this nibble. Leader followed by eye: this nibble carries the legend printed on the UPPER line, ""0: OFF, 1: TONE, 2: TSQL""."
