vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
read-record,1,-,2,-,"FE FE",-,structural,3,"Data-format diagram headed ""Controller (PC) to IC-7760"": cells 1 and 2 of the upper row, both printed ""FE"", with the leader label ""Preamble code (fixed)"" below them.",Frame start.
read-record,3,-,3,-,B2,-,structural,3,"Same diagram, third cell of the upper row printed ""B2"", leader label ""Transceiver's default address"".","Printed default address; a user-changed CI-V address would differ (see the ""Preparing"" paragraph on the same page)."
read-record,4,-,4,-,E0,-,structural,3,"Same diagram, fourth cell of the upper row printed ""E0"", leader label ""Controller's (PC's) default address"".",
read-record,5,-,6,-,"1A 00",-,manual_documented,6,"Command table, left half: the row whose Cmd. cell reads ""1A*"" and Sub cmd. cell ""00"", printed directly below the row ""19 / 00 / Read the transceiver ID""; its Description cell reads ""Send/read memory contents"" and its Data cell ""See p. 19."".",
read-record,7,-,8,-,"00 01","1 | 2",inherited_assumed,,,"Assumption A1. The document prints no read format for 1A 00 anywhere; the two channel bytes and the truncation after them are my choice. Channel 01 chosen because ""00 01"" is the lower bound printed on PDF page 20."
read-record,9,-,9,-,FD,-,structural,3,"Same diagram, last cell of the upper row printed ""FD"", leader label ""End of message code (fixed)"".",Frame end.
set-record-name-with-space,1,-,2,-,"FE FE",-,structural,3,"Data-format diagram headed ""Controller (PC) to IC-7760"": cells 1 and 2 of the upper row, both printed ""FE"", with the leader label ""Preamble code (fixed)"" below them.",Frame start.
set-record-name-with-space,3,-,3,-,B2,-,structural,3,"Same diagram, third cell of the upper row printed ""B2"", leader label ""Transceiver's default address"".","Printed default address; a user-changed CI-V address would differ."
set-record-name-with-space,4,-,4,-,E0,-,structural,3,"Same diagram, fourth cell of the upper row printed ""E0"", leader label ""Controller's (PC's) default address"".",
set-record-name-with-space,5,-,6,-,"1A 00",-,manual_documented,6,"Command table, left half: the row whose Cmd. cell reads ""1A*"" and Sub cmd. cell ""00"", printed directly below the row ""19 / 00 / Read the transceiver ID""; Description ""Send/read memory contents"".",
set-record-name-with-space,7,-,8,-,"00 01","1 | 2",manual_derived,20,"Memory content data block: the first two shaded cells at the left end of the 18-cell band, under the bracket labelled ""①, ②""; the text below the band reads ""①, ②: Memory group number"" then ""00 01 ~ 00 99: Memory channel 01 ~ 99"".","Working: memory channel 01 chosen; the page prints ""00 01 ~ 00 99: Memory channel 01 ~ 99"", so channel 01 encodes as 00 01."
set-record-name-with-space,9,1,9,1,00,3,manual_documented,20,"""③: Select memory setting"" sub-diagram in the left column: the two-half box under the circled ③, left half printed with the numeral ""0"" and an upward arrow labelled ""Fixed"".","Left (first-printed) nibble; the page prints the literal digit 0."
set-record-name-with-space,9,2,9,2,00,3,manual_derived,20,"Same sub-diagram, right half printed ""X"", its leader running right to the bracketed list ""0=OFF / 1=★1 / 2=★2 / 3=★3"".","Working: OFF chosen from the printed four-value list; the page prints ""0=OFF"", so the nibble is 0. The ★ glyphs were read from the 400 and 600 dpi renders."
set-record-name-with-space,10,-,13,-,"00 00 10 14","4 | 5 | 6 | 7",manual_derived,18,"""• Operating frequency"" diagram (Command: 00, 03, 05, 1C 03) on PDF page 18: cells ①–④ of the five-cell box, with the rotated vertical leaders reading, left to right, ""10 Hz digit: 0 ~ 9"", ""1 Hz digit: 0 ~ 9"", ""1 kHz digit: 0 ~ 9"", ""100 Hz digit: 0 ~ 9"", ""100 kHz digit: 0 ~ 9"", ""10 kHz digit: 0 ~ 9"", ""10 MHz digit: 0 ~ 6"", ""1 MHz digit: 0 ~ 9"".","Working: 14.100000 MHz chosen. Digits placed per the printed leaders give 00 00 10 14. Cross-reference: PDF page 19 prints the 14 MHz band as 13.900000 ~ 14.499999."
set-record-name-with-space,14,-,14,-,00,8,manual_documented,18,"Same diagram, fifth cell, printed ""0 : 0"", leaders ""1 GHz digit: 0 (Fixed)"" and ""100 MHz digit: 0 (Fixed)"".",Both nibbles printed as fixed zeros.
set-record-name-with-space,15,-,16,-,"01 01","9 | 10",manual_derived,18,"""• Operating mode"" diagram (Command: 01, 04, 06) and the table below it: column ""①Operating mode"" row ""01:USB"", column ""②Filter setting"" row ""01:FIL1"".","Working: USB and FIL1 chosen; the table prints 01:USB and 01:FIL1, giving 01 01."
set-record-name-with-space,17,-,17,-,00,11,manual_derived,20,"""⑪: Data mode and tone type settings"" sub-diagram in the right column: the two-half box under the circled ⑪. Following each arrow by eye, the LEFT half runs to the lower printed line ""0: OFF, 1: DATA 1, 2: DATA 2, 3: DATA 3"" and the RIGHT half to the upper line ""0: OFF, 1: TONE, 2: TSQL"".","STOP 1. Working: data mode OFF and tone type OFF chosen, both printed as 0, giving 00. The value is not affected by STOP 1: both conflicting statements print 0 (00) as OFF."
set-record-name-with-space,18,-,18,-,00,12,manual_documented,24,"""• Repeater tone/tone squelch frequency settings"" diagram (Command: 1B 00, 1B 01) on PDF page 24: first cell, printed ""0 : 0"", both rotated leaders reading ""Fixed digit: 0*"".","The asterisk note below the diagram reads ""*Not necessary when setting a frequency."", but the memory-content band draws three cells for ⑫~⑭, so this byte is present."
set-record-name-with-space,19,-,20,-,"08 85","13 | 14",manual_derived,24,"Same diagram, second and third cells, rotated leaders reading ""100Hz digit: 0 ~ 2"", ""10 Hz digit: 0 ~ 9"", ""1 Hz digit: 0 ~ 9"", ""0.1 Hz digit: 0 ~ 9"".","Working: 088.5 Hz chosen. 100Hz=0, 10Hz=8 gives 08; 1Hz=8, 0.1Hz=5 gives 85. The document prints digit ranges only and no list of permitted tone frequencies."
set-record-name-with-space,21,-,21,-,00,15,manual_documented,24,"Same diagram on PDF page 24, first cell, printed ""0 : 0"", both leaders ""Fixed digit: 0*"". PDF page 20 sends ⑮ ~ ⑰ here with the note ""See '• Repeater tone/tone squelch settings.' (p. 23)"".",
set-record-name-with-space,22,-,23,-,"08 85","16 | 17",manual_derived,24,"Same diagram, second and third cells, leaders ""100Hz digit: 0 ~ 2"", ""10 Hz digit: 0 ~ 9"", ""1 Hz digit: 0 ~ 9"", ""0.1 Hz digit: 0 ~ 9"".","Working: 088.5 Hz chosen, encoded as for bytes 19-20."
set-record-name-with-space,24,-,28,-,"41 4C 50 48 41","18 | 19 | 20 | 21 | 22",manual_derived,20,"""• Codes for character entries"" (Command: 1A 00, ...), table ""- Character codes— Letters and Numbers"", first body row: Character ""A ~ Z"", ASCII code ""41 ~ 5A"".","Working: name ""ALPHA BETA"" chosen, exactly 10 characters so no padding is needed. Counting within the printed range A=41: A=41, L=4C, P=50, H=48, A=41."
set-record-name-with-space,29,-,29,-,20,23,manual_derived,20 | 18 | 21,"On PDF page 20, the footnote under the right-hand ""Cmd./Sub cmd./Set item"" table reads ""* Usable characters: A to Z, a to z, 0 to 9, (space), ..."" and its asterisk marks that table's row ""1A / 00 / Memory name*"". The code 20 for Space is printed on PDF page 18 (""• Codes for CW message contents"" table, row ""Space | 20"") and on PDF page 21 (""• Keyer memory character entries"" table, row ""Space | 20 | Word space"").","The mid-name space. The ""Codes for character entries"" tables on PDF page 20 print no Space row - see Observed disagreements."
set-record-name-with-space,30,-,33,-,"42 45 54 41","24 | 25 | 26 | 27",manual_derived,20,"""• Codes for character entries"", table ""- Character codes— Letters and Numbers"", first body row: Character ""A ~ Z"", ASCII code ""41 ~ 5A"".","Working: counting within the printed range A=41: B=42, E=45, T=54, A=41. Arithmetic check: 5A - 41 = 0x19 = 25 = 26 letters minus one, so the printed range is self-consistent."
set-record-name-with-space,34,-,34,-,FD,-,structural,3,"Data-format diagram, last cell of the upper row printed ""FD"", leader label ""End of message code (fixed)"".",Frame end.
