diagram_id,field_index,index_style,label_verbatim,pdf_page,visual_anchor,notes
D1,1,circled,Bank number,375,"Diagram D1, upper bar (row 1 of 2), group 1 counting from the left: the single unshaded cell at the extreme left end of the bar, with the circled 1 printed directly above it.",folio 20-16 | drawn cell 1 of 37 | label read from the legend list in the left column below the bar
D1,2、3,circled,Memory channel number,375,"Diagram D1, upper bar, group 2: the two shaded cells immediately to the right of the cell marked 1, under a square bracket spanning both.",folio 20-16 | drawn cells 2-3 of 37 | label read from the legend list in the left column below the bar | separator in the bar is an ideographic comma; the legend line prints a Western comma and space
D1,4,circled,Split and Select memory settings,375,"Diagram D1, upper bar, group 3: the single unshaded cell immediately to the right of the two shaded cells bracketed 2 and 3.",folio 20-16 | drawn cell 4 of 37 | label read from the legend list in the left column below the bar | same index and label also head sub-diagram D2
D1,5~9,circled,Operating frequency setting,375,"Diagram D1, upper bar, group 4: a shaded cell, then a dashed-edged shaded cell containing a run of dots, then a shaded cell, under one bracket; immediately right of the unshaded cell marked 4.","folio 20-16 | drawn cells 5-7 of 37, the middle one an ellipsis cell standing for the omitted indices between 5 and 9 | label read from the legend list in the left column below the bar | legend line prints the range with an en dash, the bar with a wave dash"
D1,10、11,circled,Operating mode setting,375,"Diagram D1, upper bar, group 5: the two unshaded cells immediately to the right of the bracket that closes after the 5 to 9 group.",folio 20-16 | drawn cells 8-9 of 37 | label read from the legend list in the left column below the bar | separator in the bar is an ideographic comma; the legend line prints a Western comma and space
D1,12,circled,Data mode setting,375,"Diagram D1, upper bar, group 6: the single shaded cell immediately to the right of the two unshaded cells bracketed 10 and 11.",folio 20-16 | drawn cell 10 of 37 | label read from the legend list in the left column below the bar
D1,13,circled,Duplex and Tone settings,375,"Diagram D1, upper bar, group 7: the single unshaded cell immediately to the right of the shaded cell marked 12.",folio 20-16 | drawn cell 11 of 37 | label read from the legend list in the left column below the bar | same index and label also head sub-diagram D3
D1,14,circled,Digital squelch setting,375,"Diagram D1, upper bar, group 8: the single shaded cell printed X 0, immediately to the right of the unshaded cell marked 13; the only cell in the bar whose second nibble is a printed digit rather than an X.",folio 20-16 | drawn cell 12 of 37 | label read from the legend list in the right column below the bar | same index and label also head sub-diagram D4
D1,15~17,circled,Repeater tone frequency setting,375,"Diagram D1, upper bar, group 9: three unshaded cells under one bracket, immediately to the right of the shaded cell printed X 0.","folio 20-16 | drawn cells 13-15 of 37, all three drawn literally with no ellipsis cell | label read from the legend list in the right column below the bar | legend line prints the range with an en dash, the bar with a wave dash"
D1,18~20,circled,Tone squelch frequency setting,375,"Diagram D1, upper bar, group 10: three shaded cells under one bracket, immediately to the right of the three unshaded cells bracketed 15 to 17.","folio 20-16 | drawn cells 16-18 of 37 | label read from the legend list in the right column below the bar | legend line prints the range with an en dash, the bar with a wave dash"
