diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,①,-,1,1,1,2,375,"Upper bar of the ""Command: 1A 00"" diagram; the leftmost cell, white, printed X with a dotted mid-divider then X; a bracketless outline-circled 1 sits directly above it.","Style: outline-circled numeral. Measured cell 1 of the 25 cell-widths in the upper bar. Printed index and measured byte position agree."
D1,②、③,-,2,1,3,2,375,"Upper bar; the 2nd and 3rd cells from the left, both grey, under the bracket whose left leg drops onto the cell-1/cell-2 boundary and whose right leg drops onto the cell-3/cell-4 boundary.","Style: two outline-circled numerals joined by an ideographic comma. Measured cells 2-3. Printed indices and measured byte positions agree."
D1,④,-,4,1,4,2,375,"Upper bar; the 4th cell from the left, white, immediately to the right of the two grey cells covered by the ②、③ bracket; a bracketless outline-circled 4 above it.","Style: outline-circled numeral. Printed index and measured byte position agree."
D1,⑤〜⑨,-,5,1,7,2,375,"Upper bar; the bracket opening on the cell-4/cell-5 boundary and closing at the V on the cell-7/cell-8 boundary, covering three grey cell-widths: X:X, then a dashed-outline cell holding a row of dots and NO nibble divider, then X:X.","Style: outline-circled numerals joined by a wave dash. Printed range spans 5 indices; measured drawn extent is 3 cell-widths. STOP 1"
D1,⑩、⑪,-,8,1,9,2,375,"Upper bar; the two white cells immediately to the right of the V that closes the ⑤〜⑨ bracket, under the bracket labelled outline-circled 10, ideographic comma, outline-circled 11.","Style: outline-circled numerals with an ideographic comma. Printed indices 10 and 11; measured cell-widths 8 and 9. STOP 2"
D1,⑫,-,10,1,10,2,375,"Upper bar; the grey cell immediately to the right of the two white cells of the ⑩、⑪ bracket; bracketless outline-circled 12 above it.","Style: outline-circled numeral. Printed index 12; measured cell-width 10. STOP 3"
D1,⑬,-,11,1,11,2,375,"Upper bar; the white cell immediately to the right of the grey cell carrying ⑫; bracketless outline-circled 13 above it.","Style: outline-circled numeral. Printed index 13; measured cell-width 11. STOP 4"
D1,⑭,-,12,1,12,2,375,"Upper bar; the grey cell printed X, dotted divider, 0 - the only cell in either bar whose second nibble prints a numeral instead of X; bracketless outline-circled 14 above it.","Style: outline-circled numeral. Printed index 14; measured cell-width 12. Cell content reads X:0. STOP 5"
D1,⑮〜⑰,-,13,1,15,2,375,"Upper bar; three consecutive white cells immediately to the right of the X:0 cell, under the bracket that opens on the cell-12/cell-13 boundary and closes at the V on the cell-15/cell-16 boundary.","Style: outline-circled numerals joined by a wave dash. Printed range spans 3 indices; measured 3 cell-widths, but printed 15-17 against measured 13-15. STOP 6"
D1,⑱〜⑳,-,16,1,18,2,375,"Upper bar; three consecutive grey cells under the bracket that opens at the V closing ⑮〜⑰ and closes at the next V.","Style: outline-circled numerals joined by a wave dash. Printed 18-20 against measured 16-18. STOP 7"
D1,㉑〜㉓,-,19,1,21,2,375,"Upper bar; three consecutive white cells immediately to the right of the three grey cells of ⑱〜⑳, under the next bracket.","Style: outline-circled numerals joined by a wave dash. Printed 21-23 against measured 19-21. STOP 8"
D1,㉔,-,22,1,22,2,375,"Upper bar; the single grey cell with a bracketless outline-circled 24 above it, the 22nd cell-width from the left of the bar.","Style: outline-circled numeral. Printed index 24; measured cell-width 22. STOP 9"
D1,㉕〜㉗,-,23,1,25,2,375,"Upper bar; the last three cells, all white, at the right-hand end of the bar; the bar's right border closes immediately after the third of them.","Style: outline-circled numerals joined by a wave dash. Printed 25-27 against measured 23-25. STOP 10"
