diagram_id,field_index,block_label_verbatim,first_byte,first_nibble,last_byte,last_nibble,pdf_page,visual_anchor,notes
D1,"1, 2",-,1,1,2,2,19,"Memory content diagram, upper row: the first two cells at the extreme left of the row, immediately right of the row's left border; the square bracket printed above them carries the index and the section heading Memory content / Command: 1A 00 stands above the whole diagram.","Index printed as two circled numerals separated by a comma. Bracket spans 2 drawn cells, both unshaded, each printed X:X divided by a dotted vertical mid-line. Legend at left column reads: 1, 2: Memory group number."
D1,"3, 4",-,3,1,4,2,19,"Memory content diagram, upper row: cells 3 and 4 counting from the row's left border, the first pair of grey-filled cells, immediately right of the pair under the index 1, 2.","Index printed as two circled numerals separated by a comma. Bracket spans 2 drawn cells, both grey-filled, each printed X:X. Legend: 3, 4: Memory channel numbers."
D1,5,-,5,1,5,2,19,"Memory content diagram, upper row: the 5th drawn cell from the row's left border, the only cell in the upper row printed 0:X, unshaded, immediately right of the grey pair under index 3, 4.","Single circled numeral centred over one cell; no bracket. Cell printed 0:X. Detail box lower left of the page repeats the cell as 0 | X with a leader from the word Fixed to the LEFT half (the 0) and a leader from the list 0=OFF* / 1=(star)1 / 2=(star)2 / 3=(star)3 to the RIGHT half (the X). Field measured as one whole byte."
D1,6~10,-,6,1,10,2,19,"Memory content diagram, upper row: the run of grey drawn units starting at the 6th unit from the left border, comprising a grey X:X cell, a grey dashed-outline box containing a horizontal ellipsis, and a grey X:X cell; the bracket above ends just left of the unshaded cell under index 11.","Bracket spans 3 DRAWN units for a printed range of 5 bytes: the dashed ellipsis box stands for the 3 bytes not drawn. Legend: 6~10: Operating frequency setting; See Operating frequency. (p. 16)."
D1,11,-,11,1,11,2,19,"Memory content diagram, upper row: the first unshaded cell after the grey ellipsis group, i.e. the 9th drawn unit from the row's left border; printed X:X.","Single circled numeral, no bracket, over one unshaded cell. Legend: 11, 12: Operating mode setting; See Operating mode. (p. 16)."
D1,12,-,12,1,12,2,19,"Memory content diagram, upper row: the 10th drawn unit from the row's left border, grey-filled, printed X:X, immediately right of the cell under index 11.","Single circled numeral, no bracket, over one grey cell. Legend: 11, 12: Operating mode setting."
D1,13,-,13,1,13,2,19,"Memory content diagram, upper row: the 11th drawn unit from the row's left border, unshaded, printed X:X, immediately right of the grey cell under index 12.","Single circled numeral, no bracket, over one unshaded cell. Legend: 13: Data mode setting / 1 byte data (XX) / 00: Data mode OFF / 01: Data mode ON. Printed width of 1 byte agrees with the 1 cell measured."
D1,14,-,14,1,14,2,19,"Memory content diagram, upper row: the 12th drawn unit from the row's left border, grey-filled, printed X:X, immediately left of the only cell in the row printed X:0.","Single circled numeral, no bracket, over one grey cell. Detail box lower left of the page repeats the cell as X | X with a leader from the list 0=Duplex OFF / 1=Duplex- / 2=Duplex+ / 3=RPS to the LEFT half and a leader from the list 0=OFF ... 7=TONE(T)/TSQL(R) to the RIGHT half."
D1,15,-,15,1,15,2,19,"Memory content diagram, upper row: the 13th drawn unit from the row's left border, unshaded, the only cell in the row printed X:0, immediately left of the three grey cells under index 16~18.","Single circled numeral, no bracket, over one cell printed X:0. Detail box in the right column repeats the cell as X | 0 with a leader from the word Fixed to the RIGHT half (the 0) and a leader from the list 0=Digital squelch function OFF / 1=Digital call sign squelch function ON (DSQL) / 2=Digital code squelch function ON (CSQL) to the LEFT half (the X). Field measured as one whole byte."
D1,16~18,-,16,1,18,2,19,"Memory content diagram, upper row: the three consecutive grey X:X cells immediately right of the cell printed X:0, being drawn units 14, 15 and 16 from the row's left border.","Bracket spans 3 drawn cells, all grey, no ellipsis; printed range of 3 bytes agrees with the 3 cells measured. Legend: 16~18: Repeater tone frequency setting; See Repeater tone/tone squelch frequency setting. (p. 23). STOP 1"
D1,19~21,-,19,1,21,2,19,"Memory content diagram, upper row: the three consecutive unshaded X:X cells immediately right of the grey group under index 16~18, being drawn units 17, 18 and 19 from the row's left border.","Bracket spans 3 drawn cells, all unshaded, no ellipsis; printed range of 3 bytes agrees with the 3 cells measured. Legend line for this range is printed identically to the line for 16~18: Repeater tone frequency setting. STOP 1"
D1,22~24,-,22,1,24,2,19,"Memory content diagram, upper row: the last three cells of the upper row, all grey X:X, immediately left of the curved arrow that carries the diagram down to the lower row.","Bracket spans 3 drawn cells, all grey, no ellipsis; printed range of 3 bytes agrees with the 3 cells measured. Last field of the upper row. Legend: 22~24: DTCS code setting; See DTCS code and polarity setting. (p. 23)."
D1,25,-,25,1,25,2,19,"Memory content diagram, lower row: the first cell of the lower row, unshaded, printed X:X, immediately right of the arrowhead that ends the wrap arrow from the upper row.","Single circled numeral, no bracket, over one unshaded cell. First field of the lower row. Legend: 25: DV Digital code squelch setting; See DV Digital code squelch setting. (p. 23)."
D1,26~28,-,26,1,28,2,19,"Memory content diagram, lower row: the three consecutive grey X:X cells immediately right of the first cell of the lower row, being drawn units 2, 3 and 4 of that row.","Bracket spans 3 drawn cells, all grey, no ellipsis; printed range of 3 bytes agrees with the 3 cells measured. Legend: 26~28: Duplex offset frequency setting; See Duplex Offset frequency setting. (p. 17)."
D1,29~36,-,29,1,36,2,19,"Memory content diagram, lower row: the unshaded run starting at drawn unit 5 of the lower row - an unshaded X:X cell, an unshaded dashed-outline ellipsis box, an unshaded X:X cell - immediately right of the three grey cells under index 26~28.","Bracket spans 3 DRAWN units for a printed range of 8 bytes: the dashed ellipsis box stands for the 6 bytes not drawn. First of three repeated 8-byte call-sign blocks; measured independently of the other two. Legend: 29~36: UR (Destination) call sign setting (8 characters, fixed)."
D1,37~44,-,37,1,44,2,19,"Memory content diagram, lower row: the grey run at drawn units 8, 9 and 10 of the lower row - a grey X:X cell, a grey dashed-outline ellipsis box, a grey X:X cell - immediately right of the unshaded run under index 29~36.","Bracket spans 3 DRAWN units for a printed range of 8 bytes: the dashed ellipsis box stands for the 6 bytes not drawn. Second of three repeated 8-byte call-sign blocks; measured independently. Legend: 37~44: R1 (Access repeater) call sign setting (8 characters, fixed.)."
D1,45~52,-,45,1,52,2,19,"Memory content diagram, lower row: the unshaded run at drawn units 11, 12 and 13 of the lower row - an unshaded X:X cell, an unshaded dashed-outline ellipsis box, an unshaded X:X cell - immediately right of the grey run under index 37~44.","Bracket spans 3 DRAWN units for a printed range of 8 bytes: the dashed ellipsis box stands for the 6 bytes not drawn. Third of three repeated 8-byte call-sign blocks; measured independently. This group is unshaded and so is the group that follows it, so the alternating grey/white banding of the diagram does not change at this boundary; the bracket ends are unambiguous. Legend: 45~52: R2 (Gateway/Link repeater) call sign setting (8 characters, fixed)."
D1,53~68,-,53,1,68,2,19,"Memory content diagram, lower row: the last three drawn units of the lower row - an unshaded X:X cell, an unshaded dashed-outline ellipsis box, and the final unshaded X:X cell at the right-hand end of the diagram, under which the bracket's right arm descends.","Bracket spans 3 DRAWN units for a printed range of 16 bytes: the dashed ellipsis box stands for the 14 bytes not drawn. Last field of the diagram. Legend: 53~68: Memory name setting (16 characters, fixed); See Codes for character entries. (p. 19)."
