vector_name,first_byte,first_nibble,last_byte,last_nibble,bytes_hex,field_index,status,pdf_page,visual_anchor,notes
read-record,1,-,2,-,FE FE,-,structural,3,"PDF p.3, upper-left frame diagram headed ""Controller (PC) to IC-905"": the two leftmost cells, each printed FE, under index (1), above the leader labelled ""Preamble code (fixed)"".","Preamble, controller to transceiver."
read-record,3,-,3,-,AC,-,structural,3,"PDF p.3, same diagram: the third cell, printed AC, under index (2), above the leader labelled ""Transceiver's default address"".",Transceiver's default address as printed.
read-record,4,-,4,-,E0,-,structural,3,"PDF p.3, same diagram: the fourth cell, printed E0, under index (3), above the leader labelled ""Controller's (PC's) default address"".",Controller's default address as printed.
read-record,5,-,6,-,1A 00,-,manual_documented,19,"PDF p.19, the line ""Command: 1A 00"" printed directly under the bullet heading ""Memory content"", above the two-band data diagram.",Command and sub command bytes printed verbatim.
read-record,7,-,8,-,00 00,1-2,inherited_assumed,,,Assumption A1: the document prints no read form for 1A 00; the presence of these two bytes in a read request is assumed. Value chosen inside the printed range for the memory group number.
read-record,9,-,10,-,00 01,3-4,inherited_assumed,,,Assumption A1: as above for the memory channel number; value chosen inside the printed range. Channel 01 of group 00.
read-record,11,-,11,-,FD,-,structural,3,"PDF p.3, same diagram: the rightmost cell, printed FD, under index (7), immediately right of the ""Data area"" cell, above the leader labelled ""End of message code (fixed)"".",End of message.
set-record-name-with-space-68,1,-,2,-,FE FE,-,structural,3,"PDF p.3, upper-left frame diagram headed ""Controller (PC) to IC-905"": the two leftmost cells, each printed FE, under index (1), above the leader labelled ""Preamble code (fixed)"".","Preamble, controller to transceiver."
set-record-name-with-space-68,3,-,3,-,AC,-,structural,3,"PDF p.3, same diagram: the third cell, printed AC, under index (2), above the leader labelled ""Transceiver's default address"".",Transceiver's default address as printed.
set-record-name-with-space-68,4,-,4,-,E0,-,structural,3,"PDF p.3, same diagram: the fourth cell, printed E0, under index (3), above the leader labelled ""Controller's (PC's) default address"".",Controller's default address as printed.
set-record-name-with-space-68,5,-,6,-,1A 00,-,manual_documented,19,"PDF p.19, the line ""Command: 1A 00"" printed directly under the bullet heading ""Memory content"", above the two-band data diagram.",Command and sub command bytes printed verbatim.
set-record-name-with-space-68,7,-,8,-,00 00,1-2,manual_derived,19,"PDF p.19, left legend column, first entry ""(1), (2): Memory group number"" with ""00 00 ~ 00 99: Memory channel group"" on the next line; the two unshaded leftmost boxes of diagram band 1.",Memory channel group 00 chosen from the printed range 00 00 ~ 00 99.
