diagram_id,field_index,label_verbatim,width_bytes,encoding,values_verbatim,pdf_page,visual_anchor,notes
D1,"①, ②",Memory group number,2,unstated,00 00 ~ 00 99: Memory channel group | 01 00: Call channel group,19,"First bracket of the wrapped data block, spanning the first two (white) X:X cells at the far left of the upper row; legend entry is the first line of the left-hand legend column, immediately under the block.",Measured position on the render: drawn cells 1-2 of 22 in the upper row (bytes 1-2 of 68). Cells drawn white (unshaded). The page prints permitted values but states no encoding. The same indices recur in the block transcribed here as D2.
D1,"③, ④",Memory channel numbers,2,unstated,"• When Memory channel group is selected, 00 00 ~ 00 99: 00 ~ 99 | • When Call channel group is selected, 00 00, 00 01: 144 C1, C2 | 00 02, 00 03: 430 C1, C2 | 00 04, 00 05: 1200 C1, C2 | 00 06, 00 07: 2400 C1, C2 | 00 08, 00 09: 5600 C1, C2 | 00 10, 00 11: 10G C1, C2",19,"Second bracket of the wrapped data block, spanning the third and fourth (grey-shaded) X:X cells of the upper row, immediately right of the ①, ② bracket; legend entry is the second entry of the left-hand legend column.",Measured position: drawn cells 3-4 (bytes 3-4 of 68). Cells drawn grey-shaded. The page prints permitted values but states no encoding. The same indices recur in D2.
D1,⑤,Split and Select memory setting,1,enum_nibble,0=OFF* | 1= ★1 | 2= ★2 | 3= ★3 | Fixed | * Set 0 for Call channel.,19,"Fifth cell of the upper row of the data block, printed as 0 : X and carrying a bare circled 5 above it with no bracket; the breakout box repeating it sits in the left-hand legend column under the heading ⑤: Split and Select memory setting.","Measured position: drawn cell 5 (byte 5 of 68); cell drawn white. Encoding read from the breakout box: the byte is split by a dotted rule into two nibbles, the left-hand nibble printed as a literal 0 with a leader labelled Fixed, the right-hand nibble printed as X with a leader running to the bracketed list 0=OFF* .. 3=★3. The footnote * Set 0 for Call channel. is printed below the breakout."
D1,⑥~⑩,Operating frequency setting,5,unstated,,19,"Third bracket of the upper row of the data block, immediately right of the single ⑤ cell; legend entry is the third entry of the left-hand legend column, below the * Set 0 for Call channel. footnote.","Measured position: bytes 6-10 of 68; drawn elided: two solid X:X cells with a dashed-outline cell containing a five-dot ellipsis between them, all three cells grey-shaded, so the five bytes are inferred from the printed index range ⑥~⑩ at the one-byte-per-index rate every non-elided numbered cell in this diagram uses. No values are printed for this field; the page prints only the pointer See “Operating frequency.” (p. 16) after a circled-i mark. p. 16 is a printed folio, not a PDF page, and was not opened for this leg."
D1,"⑪, ⑫",Operating mode setting,2,unstated,,19,"The two cells immediately right of the ⑥~⑩ bracket in the upper row of the data block, the first white and the second grey; legend entry is the fourth entry of the left-hand legend column.","Measured position: drawn cells 9-10 of the upper row (bytes 11-12 of 68). The diagram draws ⑪ and ⑫ as two separate circled numerals over two separate cells with no bracket joining them, whereas the legend prints them jointly as ⑪, ⑫; recorded here as the legend prints it. No values are printed; the page prints only the pointer See “Operating mode.” (p. 16) after a circled-i mark. p. 16 is a printed folio and was not opened for this leg."
D1,⑬,Data mode setting,1,enum_byte,1 byte data (XX) | 00: Data mode OFF | 01: Data mode ON,19,"White X:X cell of the upper row carrying a bare circled 13, between the grey ⑫ cell and the grey ⑭ cell; legend entry is the fifth entry of the left-hand legend column.",Measured position: byte 13 of 68. Encoding read from the printed line 1 byte data (XX) followed by two whole-byte codes 00 and 01.
D1,⑭,Duplex and Tone settings,1,enum_nibble,0=Duplex OFF | 1=Duplex- | 2=Duplex+ | 3=RPS | 0=OFF | 1=TONE | 2=TSQL | 3=DTCS | 4=DTCS(T) | 5=TONE(T)/DTCS(R) | 6=DTCS(T)/TSQL(R) | 7=TONE(T)/TSQL(R),19,"Grey X:X cell of the upper row carrying a bare circled 14, immediately right of the white ⑬ cell; the breakout box repeating it sits at the foot of the left-hand legend column under ⑭: Duplex and Tone settings.","Measured position: byte 14 of 68. Encoding read from the breakout box: the byte is split by a dotted rule into two nibbles, each with its own leader and its own bracketed list. Leaders followed by eye: the LEFT-hand nibble leads to 0=Duplex OFF / 1=Duplex- / 2=Duplex+ / 3=RPS; the RIGHT-hand nibble leads to 0=OFF .. 7=TONE(T)/TSQL(R). Printed below: a circled-i note reading RPS can be set when DD mode is selected, and Duplex (+, -) can be set when other than DD mode is selected. The dash in 1=Duplex- is drawn as a mid-height bar noticeably wider than the hyphen in (+, -); a raster cannot fix its codepoint, so it is transcribed as a plain hyphen and the difference recorded in the .md."
D1,⑮,Digital squelch setting,1,enum_nibble,0=Digital squelch function OFF | 1=Digital call sign squelch function ON (DSQL) | 2=Digital code squelch function ON (CSQL) | Fixed,19,"Last white cell of the upper row before the ⑯~⑱ bracket, printed as X : 0 and carrying a bare circled 15; the breakout box repeating it heads the right-hand legend column under ⑮: Digital squelch setting.","Measured position: byte 15 of 68. Encoding read from the breakout box: the byte is split by a dotted rule into two nibbles; the LEFT-hand nibble is printed as X with a leader running down to the list 0=..OFF / 1=..(DSQL) / 2=..(CSQL); the RIGHT-hand nibble is printed as a literal 0 with a leader labelled Fixed. This mirrors the ⑤ breakout, where the literal 0 and the Fixed leader are on the left."
D1,⑯~⑱,Repeater tone frequency setting,3,unstated,,19,Bracket over the three grey-shaded X:X cells that follow the white ⑮ cell in the upper row; legend entry is the line immediately under the ⑮ breakout in the right-hand legend column.,"STOP 1. Measured position: bytes 16-18 of 68. No values printed; the two lines ⑯~⑱ and ⑲~㉑ share one pointer, See “Repeater tone/tone squelch frequency setting.” (p. 23), printed after a circled-i mark. p. 23 is a printed folio and was not opened for this leg."
D1,⑲~㉑,Repeater tone frequency setting,3,unstated,,19,Bracket over the three white X:X cells that follow the ⑯~⑱ group in the upper row; legend entry is the line directly beneath the ⑯~⑱ entry in the right-hand legend column.,"STOP 1: this label is printed identically to the label of ⑯~⑱, transcribed as printed and not repaired. Measured position: bytes 19-21 of 68. No values printed; shares the pointer See “Repeater tone/tone squelch frequency setting.” (p. 23)."
D1,㉒~㉔,DTCS code setting,3,unstated,,19,"Bracket over the last three (grey-shaded) X:X cells of the upper row, immediately before the wrap-around arrow; legend entry follows the (p. 23) continuation line in the right-hand legend column.",Measured position: bytes 22-24 of 68. No values printed; the page prints only the pointer See “DTCS code and polarity setting.” (p. 23) after a circled-i mark. p. 23 is a printed folio and was not opened for this leg.
D1,㉕,DV Digital code squelch setting,1,unstated,,19,"First cell of the lower row of the wrapped data block, white, immediately after the wrap-around arrowhead and carrying a bare circled 25; legend entry is the fourth entry of the right-hand legend column.",Measured position: byte 25 of 68 (drawn cell 1 of 16 in the lower row). No values printed; the page prints only the pointer See “DV Digital code squelch setting.” (p. 23) after a circled-i mark. p. 23 is a printed folio and was not opened for this leg.
