diagram_id,field_index,index_style,label_verbatim,pdf_page,visual_anchor,notes
D1,"1, 2",circled,"Memory group number",19,"Diagram D1 upper row: leftmost bracket of the index band, sitting over the first two white ""X X"" cells at the left edge of the box row.","Index band prints the pair as one bracketed label; label taken from the legend entry beginning with the same printed index below the diagram."
D1,"3, 4",circled,"Memory channel numbers",19,"Diagram D1 upper row: second bracket of the index band, over the third and fourth cells (the first two shaded ""X X"" cells), immediately right of the ""1, 2"" bracket.","Label taken from the legend entry beginning with the same printed index below the diagram."
D1,5,circled,"Split and Select memory setting",19,"Diagram D1 upper row: single index over the fifth cell, the white cell printed ""0 X"", immediately right of the ""3, 4"" bracket.","Label taken from the legend entry beginning with the same printed index; the same index is drawn again over a separate one-byte box (D2). STOP 3"
D1,6~10,circled,"Operating frequency setting",19,"Diagram D1 upper row: bracket spanning the run that begins with the shaded cell after the ""0 X"" cell and encloses the dashed elision box, ending before the white cell labelled 11.","Tilde printed tight between the two circled numerals; label taken from the legend entry with the same printed index."
D1,11,circled,"Operating mode setting",19,"Diagram D1 upper row: single index over the white ""X X"" cell immediately right of the closing bracket of the 6~10 span.","Band prints 11 and 12 as two separate single indices while the legend prints them as one entry ""11, 12""; label taken from that legend entry. STOP 1"
D1,12,circled,"Operating mode setting",19,"Diagram D1 upper row: single index over the shaded ""X X"" cell immediately right of the cell labelled 11.","Band prints 11 and 12 as two separate single indices while the legend prints them as one entry ""11, 12""; label taken from that legend entry. STOP 1"
D1,13,circled,"Data mode setting",19,"Diagram D1 upper row: single index over the white ""X X"" cell immediately right of the cell labelled 12.","Label taken from the legend entry with the same printed index."
D1,14,circled,"Duplex and Tone settings",19,"Diagram D1 upper row: single index over the shaded ""X X"" cell immediately right of the cell labelled 13.","Label taken from the legend entry with the same printed index; the same index is drawn again over a separate one-byte box (D3). STOP 3"
D1,15,circled,"Digital squelch setting",19,"Diagram D1 upper row: single index over the white cell printed ""X 0"", immediately right of the cell labelled 14.","Label taken from the legend entry with the same printed index; the same index is drawn again over a separate one-byte box (D4). STOP 3"
D1,16~18,circled,"Repeater tone frequency setting",19,"Diagram D1 upper row: bracket spanning the three shaded ""X X"" cells immediately right of the ""X 0"" cell labelled 15.","Legend prints this label and the label for 19~21 identically; the shared cross-reference note beneath both reads ""See “Repeater tone/tone squelch frequency setting.” (p. 23)"". STOP 2"
D1,19~21,circled,"Repeater tone frequency setting",19,"Diagram D1 upper row: bracket spanning the three white ""X X"" cells immediately right of the 16~18 span.","Same label as printed for 16~18. STOP 2"
D1,22~24,circled,"DTCS code setting",19,"Diagram D1 upper row: rightmost bracket, spanning the last three shaded ""X X"" cells before the wrap arrow that carries the block to the second row.","Label taken from the legend entry with the same printed index."
D1,25,circled,"DV Digital code squelch setting",19,"Diagram D1 lower row: single index over the first cell of the second row, the white ""X X"" cell at the arrowhead where the wrap line re-enters.","Label taken from the legend entry with the same printed index."
D1,26~28,circled,"Duplex offset frequency setting",19,"Diagram D1 lower row: first bracket, spanning the three shaded ""X X"" cells immediately right of the cell labelled 25.","Label taken from the legend entry with the same printed index."
D1,29~36,circled,"UR (Destination) call sign setting (8 characters, fixed)",19,"Diagram D1 lower row: second bracket, spanning the white ""X X"" cell and dashed elision that follow the 26~28 span.","Label set across two printed lines and joined here with one space."
D1,37~44,circled,"R1 (Access repeater) call sign setting (8 characters, fixed.)",19,"Diagram D1 lower row: third bracket, spanning the cells and dashed elision that follow the 29~36 span.","Label set across two printed lines and joined here with one space; the bracket closes with ""fixed.)"" including a full stop, unlike the 29~36 and 45~52 entries."
D1,45~52,circled,"R2 (Gateway/Link repeater) call sign setting (8 characters, fixed)",19,"Diagram D1 lower row: fourth bracket, opening at the first white ""X X"" cell after the last shaded cell of the 37~44 span and spanning that cell, a dashed elision and the next white ""X X"" cell.","Label set across two printed lines and joined here with one space."
D1,53~68,circled,"Memory name setting (16 characters, fixed)",19,"Diagram D1 lower row: rightmost bracket, spanning the white ""X X"" cell that follows the 45~52 span, a dashed elision, and the final white ""X X"" cell at the right end of the row.","Label printed on one line in the legend."
D2,5,circled,"Split and Select memory setting",19,"Left column, one-byte box below the heading ""5: Split and Select memory setting""; the circled index sits above the box printed ""0 X"", whose left nibble carries the leader labelled ""Fixed"".","Label taken from the heading line printed immediately above the box; this index is also drawn in the D1 index band. STOP 3"
D3,14,circled,"Duplex and Tone settings",19,"Left column, one-byte box below the heading ""14: Duplex and Tone settings""; the circled index sits above the box printed ""X X"", with the 0=Duplex OFF list leading to the left nibble.","Label taken from the heading line printed immediately above the box; this index is also drawn in the D1 index band. STOP 3"
D4,15,circled,"Digital squelch setting",19,"Right column, one-byte box below the heading ""15: Digital squelch setting""; the circled index sits above the box printed ""X 0"", whose right nibble carries the leader labelled ""Fixed"".","Label taken from the heading line printed immediately above the box; this index is also drawn in the D1 index band. STOP 3"
